"DATA","Temperatura massima (°C)","Temperatura media (°C)","Temperatura minima (°C)","Temperatura classe","Precipitazione (mm)","Precipitazione classe","Velocità media (m/s)","Velocità raffica (m/s)","Settore prevalente","Durata calma (min)","Tempo permanenza (min)","Vento classe","Umidità massima (%)","Umidità media (%)","Umidità minima (%)","Umidità classe","Radiazione globale (MJ/m²)","Radiazione classe"
"1988-05-05","22.6","14.7","9.6","M000","0.2","MY","","","","","","","","","","","",""
"1988-05-06","27.0","17.5","8.1","M000","0.0","MZ","","","","","","","","","","","",""
"1988-05-07","26.2","19.1","12.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-05-08","18.0","16.0","13.9","M000","11.6","MZ","","","","","","","","","","","",""
"1988-05-09","25.6","16.8","12.7","M000","6.8","MZ","","","","","","","","","","","",""
"1988-05-10","21.4","16.4","11.5","M000","0.4","MZ","","","","","","","","","","","",""
"1988-05-11","16.4","14.5","12.8","M000","14.6","MZ","","","","","","","","","","","",""
"1988-05-12","13.0","11.9","10.6","M000","12.8","MZ","","","","","","","","","","","",""
"1988-05-13","15.1","12.7","10.5","M000","0.8","MZ","","","","","","","","","","","",""
"1988-05-14","21.9","15.8","11.4","M000","0.2","MY","","","","","","","","","","","",""
"1988-05-15","23.8","17.2","12.1","M000","11.6","MZ","","","","","","","","","","","",""
"1988-05-16","24.0","17.7","14.1","M000","1.0","MZ","","","","","","","","","","","",""
"1988-05-17","19.5","15.8","14.0","M000","5.8","MZ","","","","","","","","","","","",""
"1988-05-18","20.5","15.9","12.9","M000","53.8","MZ","","","","","","","","","","","",""
"1988-05-19","17.3","13.9","11.6","M000","10.0","MZ","","","","","","","","","","","",""
"1988-05-20","23.7","16.5","10.1","M000","0.0","MZ","","","","","","","","","","","",""
"1988-05-21","24.9","16.9","7.7","M000","0.0","MZ","","","","","","","","","","","",""
"1988-05-22","21.8","16.7","12.1","M000","0.0","MZ","","","","","","","","","","","",""
"1988-05-23","23.7","18.0","13.3","M000","0.0","MZ","","","","","","","","","","","",""
"1988-05-24","25.7","19.5","14.4","M000","0.0","MZ","","","","","","","","","","","",""
"1988-05-25","27.6","21.1","14.4","M000","0.0","MZ","","","","","","","","","","","",""
"1988-05-26","27.5","19.8","14.1","M000","1.2","MZ","","","","","","","","","","","",""
"1988-05-27","21.6","15.7","11.9","M000","23.2","MZ","","","","","","","","","","","",""
"1988-05-28","14.9","12.9","10.7","M000","13.8","MZ","","","","","","","","","","","",""
"1988-05-29","16.0","13.4","11.7","M000","6.2","MZ","","","","","","","","","","","",""
"1988-05-30","20.5","14.5","9.6","M000","1.8","MZ","","","","","","","","","","","",""
"1988-05-31","20.4","15.1","10.4","M000","3.2","MZ","","","","","","","","","","","",""
"1988-06-01","25.1","18.3","9.4","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-02","28.2","19.6","9.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-03","27.3","20.2","11.2","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-04","18.6","15.9","13.1","M000","11.6","MZ","","","","","","","","","","","",""
"1988-06-05","18.9","15.0","11.8","M000","1.6","MZ","","","","","","","","","","","",""
"1988-06-06","18.7","15.5","10.9","M000","0.4","MZ","","","","","","","","","","","",""
"1988-06-07","16.2","12.6","9.8","M000","4.2","MZ","","","","","","","","","","","",""
"1988-06-08","21.5","15.2","10.8","M000","0.2","MY","","","","","","","","","","","",""
"1988-06-09","25.7","17.6","9.0","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-10","27.2","19.1","11.4","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-11","26.4","18.4","13.4","M000","6.4","MZ","","","","","","","","","","","",""
"1988-06-12","23.9","17.3","13.4","M000","6.0","MZ","","","","","","","","","","","",""
"1988-06-13","26.6","18.8","13.0","M000","5.4","MZ","","","","","","","","","","","",""
"1988-06-14","23.2","17.4","13.1","M000","2.2","MZ","","","","","","","","","","","",""
"1988-06-15","27.7","19.6","12.6","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-16","27.1","19.7","15.0","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-17","25.0","19.5","14.8","M000","24.8","MZ","","","","","","","","","","","",""
"1988-06-18","23.3","17.4","13.5","M000","0.4","MZ","","","","","","","","","","","",""
"1988-06-19","27.0","19.6","12.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-20","29.1","21.0","12.6","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-21","26.8","20.8","14.8","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-22","29.5","21.5","13.4","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-23","30.1","22.8","14.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-24","24.6","20.5","17.1","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-25","26.5","20.0","14.9","M000","18.2","MZ","","","","","","","","","","","",""
"1988-06-26","26.3","18.6","14.3","M000","9.8","MZ","","","","","","","","","","","",""
"1988-06-27","20.0","17.0","15.2","M000","0.8","MZ","","","","","","","","","","","",""
"1988-06-28","23.6","18.3","14.6","M000","0.0","MZ","","","","","","","","","","","",""
"1988-06-29","27.3","20.2","14.4","M000","1.4","MZ","","","","","","","","","","","",""
"1988-06-30","22.1","18.8","16.4","M000","2.0","MZ","","","","","","","","","","","",""
"1988-07-01","21.5","17.0","14.6","M000","38.4","MZ","","","","","","","","","","","",""
"1988-07-02","27.6","20.1","13.0","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-03","22.2","16.9","12.8","M000","34.2","MZ","","","","","","","","","","","",""
"1988-07-04","18.4","16.6","15.1","M000","22.0","MZ","","","","","","","","","","","",""
"1988-07-05","21.2","17.5","15.5","M000","8.6","MZ","","","","","","","","","","","",""
"1988-07-06","28.7","21.3","16.3","M000","12.2","MZ","","","","","","","","","","","",""
"1988-07-07","29.0","22.1","16.8","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-08","29.3","22.2","15.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-09","30.1","22.2","13.7","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-10","29.7","22.5","13.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-11","30.9","24.4","17.6","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-12","29.5","24.5","19.1","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-13","25.6","21.7","18.3","M000","0.8","MZ","","","","","","","","","","","",""
"1988-07-14","32.5","24.3","17.0","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-15","26.4","22.6","17.7","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-16","28.6","20.7","13.1","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-17","27.4","20.1","12.0","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-18","30.3","22.4","14.8","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-19","31.7","23.4","14.8","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-20","31.9","24.1","15.6","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-21","32.1","25.2","18.3","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-22","32.7","25.8","19.3","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-23","32.5","25.9","19.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-24","27.4","20.6","15.1","M000","33.4","MZ","","","","","","","","","","","",""
"1988-07-25","31.7","22.1","13.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-26","32.8","24.1","16.0","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-27","30.5","22.7","17.3","M000","2.6","MZ","","","","","","","","","","","",""
"1988-07-28","32.3","23.4","15.3","M000","0.0","MZ","","","","","","","","","","","",""
"1988-07-29","29.7","23.4","16.8","M000","2.8","MZ","","","","","","","","","","","",""
"1988-07-30","30.7","23.8","14.5","M000","1.2","MZ","","","","","","","","","","","",""
"1988-07-31","29.4","23.5","19.1","M000","0.2","MZ","","","","","","","","","","","",""
"1988-08-01","30.0","23.6","18.3","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-02","30.7","23.1","17.5","M000","0.6","MZ","","","","","","","","","","","",""
"1988-08-03","29.1","22.3","18.3","M000","1.8","MZ","","","","","","","","","","","",""
"1988-08-04","25.2","20.3","15.8","M000","7.4","MZ","","","","","","","","","","","",""
"1988-08-05","28.6","20.4","11.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-06","27.7","22.4","17.8","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-07","31.0","22.8","15.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-08","31.7","23.4","15.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-09","33.0","24.9","17.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-10","32.1","24.3","16.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-11","31.0","22.2","18.2","M000","11.8","MZ","","","","","","","","","","","",""
"1988-08-12","30.2","22.4","16.2","M000","17.4","MZ","","","","","","","","","","","",""
"1988-08-13","31.6","23.1","16.3","M000","0.2","MY","","","","","","","","","","","",""
"1988-08-14","32.8","24.3","17.2","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-15","31.1","23.0","17.4","M000","0.8","MZ","","","","","","","","","","","",""
"1988-08-16","33.3","22.5","15.6","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-17","33.4","23.4","14.8","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-18","32.1","23.9","16.3","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-19","24.2","21.4","19.7","M000","3.6","MZ","","","","","","","","","","","",""
"1988-08-20","24.3","20.3","13.5","M000","3.0","MZ","","","","","","","","","","","",""
"1988-08-21","28.3","18.6","11.3","M000","1.2","MZ","","","","","","","","","","","",""
"1988-08-22","25.7","19.3","12.1","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-23","27.3","18.2","9.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-24","21.3","16.9","12.8","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-25","26.8","19.2","12.6","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-26","25.1","17.2","8.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-27","29.2","19.7","11.7","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-28","27.7","20.9","15.5","M000","0.0","MZ","","","","","","","","","","","",""
"1988-08-29","21.9","18.4","14.2","M000","24.4","MZ","","","","","","","","","","","",""
"1988-08-30","26.4","18.1","10.2","M000","0.2","MY","","","","","","","","","","","",""
"1988-08-31","26.4","20.0","15.4","M000","0.0","MZ","","","","","","","","","","","",""
"1988-09-01","21.1","17.9","15.8","M000","5.4","MZ","","","","","","","","","","","",""
"1988-09-02","25.3","18.8","11.7","M000","21.8","MZ","","","","","","","","","","","",""
"1988-09-03","25.4","16.5","8.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-09-04","26.9","18.5","11.3","M000","0.0","MZ","","","","","","","","","","","",""
"1988-09-05","27.9","19.4","12.2","M000","0.0","MZ","","","","","","","","","","","",""
"1988-09-06","32.3","21.2","12.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-09-07","27.4","20.6","11.9","M000","0.0","MZ","","","","","","","","","","","",""
"1988-09-08","25.2","19.8","15.4","M000","0.0","MZ","","","","","","","","","","","",""
