ANNO;MESE;PREC;NUMERO_DATI
1988;1;76;31
1988;2;44.6;29
1988;3;17.4;31
1988;4;133.1;30
1988;5;94.9;31
1988;6;NA;NA
1988;7;1.2;29
1988;8;10.6;31
1988;9;3.2;30
1988;10;128.9;31
1988;11;22.2;30
1988;12;41.3;31
1989;1;1.9;31
1989;2;28.2;28
1989;3;28.5;31
1989;4;120.1;30
1989;5;96.6;31
1989;6;27.5;30
1989;7;46.2;31
1989;8;62.2;31
1989;9;90.8;30
1989;10;59.9;31
1989;11;86.2;30
1989;12;38.3;31
1990;1;50.5;31
1990;2;14.4;28
1990;3;36;31
1990;4;84;30
1990;5;32.5;31
1990;6;18.3;30
1990;7;9.8;31
1990;8;33.9;31
1990;9;48.6;30
1990;10;131.7;31
1990;11;98.2;30
1990;12;120.9;31
1991;1;7.7;31
1991;2;32.9;25
1991;3;37.2;31
1991;4;84.8;30
1991;5;99.4;31
1991;6;19.9;30
1991;7;0.6;31
1991;8;10;31
1991;9;48;28
1991;10;189.2;31
1991;11;179.4;30
1991;12;0.1;31
1992;1;29.2;29
1992;2;12.2;29
1992;3;87.1;31
1992;4;86;30
1992;5;60.8;31
1992;6;98;29
1992;7;34.8;31
1992;8;2.4;31
1992;9;54.4;30
1992;10;109.8;31
1992;11;56;30
1992;12;76.8;31
1993;1;7.1;31
1993;2;10.6;28
1993;3;58;31
1993;4;43.8;30
1993;5;29.8;31
1993;6;7.2;30
1993;7;0;31
1993;8;4;31
1993;9;106.6;30
1993;10;70.5;31
1993;11;132.1;30
1993;12;62.7;30
1994;1;58.7;31
1994;2;29.6;28
1994;3;0.2;31
1994;4;92.6;30
1994;5;48.1;31
1994;6;116.4;30
1994;7;24.8;31
1994;8;19.2;31
1994;9;43.7;30
1994;10;54.9;31
1994;11;77.4;30
1994;12;27;31
1995;1;37.7;31
1995;2;59.2;28
1995;3;53.4;31
1995;4;67.6;30
1995;5;60.6;31
1995;6;30;30
1995;7;0.4;31
1995;8;70.9;31
1995;9;74.8;30
1995;10;6.4;31
1995;11;33.8;30
1995;12;79.4;31
1996;1;69.7;31
1996;2;80.2;29
1996;3;19.8;31
1996;4;75.6;30
1996;5;75.1;30
1996;6;12;30
1996;7;6.2;31
1996;8;147.6;31
1996;9;118.4;30
1996;10;151.6;30
1996;11;195.7;30
1996;12;117.9;31
1997;1;63;31
1997;2;19.2;28
1997;3;31.6;31
1997;4;108;30
1997;5;52.3;31
1997;6;79.5;30
1997;7;8.9;31
1997;8;45.8;31
1997;9;51.2;30
1997;10;105.2;31
1997;11;278.6;30
1997;12;79;31
1998;1;86.2;31
1998;2;78.5;28
1998;3;27.2;31
1998;4;72.6;29
1998;5;39.8;31
1998;6;30.8;30
1998;7;50;31
1998;8;46.8;31
1998;9;81.6;30
1998;10;173;31
1998;11;31.8;30
1998;12;124.2;31
1999;1;36.4;31
1999;2;38.6;28
1999;3;115.1;31
1999;4;87.5;29
1999;5;38.5;29
1999;6;26;29
1999;7;19.9;31
1999;8;12.4;28
1999;9;161.1;29
1999;10;76.6;28
1999;11;157.6;28
1999;12;85;29
2000;1;15.2;30
