ANNO;Tmin;DUE_DEV_STANDARD;NUMERO_DATI
1988;7.5;6.3;353
1989;7.3;5.9;365
1990;7.2;5.8;365
1991;7;6.4;365
1992;8.7;6.1;366
1993;7.6;6.3;365
1994;8.7;6;365
1995;7;5.7;365
1996;7.5;6.1;366
1997;8.5;5.7;365
1998;8.1;6.2;363
1999;8.5;6.6;349
2000;NA;NA;NA
2001;NA;NA;NA
2002;NA;NA;NA
2003;NA;NA;NA
2004;8.8;6.1;366
2005;8.5;6.5;334
2006;9.1;6.2;365
2007;9.5;6;361
2008;9.1;5.9;365
2009;9.8;6.5;365
2010;9;6.2;365
2011;9.3;6.1;352
2012;9.7;7.1;362
2013;9.5;6.6;365
2014;10.3;5.5;365
2015;10.1;6.6;364
2016;9.8;5.8;363
2017;10;6.6;329
2018;10.7;6.3;336
2019;10.2;6.3;361
2020;10;6.1;366
2021;9.9;6.5;361
2022;10.4;6.8;365
